Uniprot_ID,Sample1,Sample2
Q8NL68,119.7523193,151.8103485
Q8NL70,5162.608887,5087.477051
Q8NL72,696.506897,934.3284912
Q8NL73,869.4586182,895.5847778
Q8NL74,773.0117188,724.5015259
Q8NL79,376.8291016,329.1891174
Q8NL80,1023.88916,1053.488037
Q8NL82,465.5514832,450.6333923
Q8NL86,127.2740021,151.8935699
Q8NL87,226.0166473,229.5895844
Q8NL89,115.4134521,71.8704834
Q8NL91,203.3969879,184.3162231
Q8NL92,158.7683258,133.9769287
Q8NL93,552.9367065,527.206543
Q8NL95,319.9706421,401.9296265
Q8NL96,140.168808,194.8132782
Q8NL97,330.8457336,393.7806702
Q8NLA2,867.1181641,888.2967529
Q8NLA4,728.8984375,698.5892944
Q8NLA7,484.0818176,470.895752
Q8NLA8,2101.377197,1759.166382
Q8NLA9,123.5173645,99.69415283
Q8NLB0,242.5023193,252.4817963
Q8NLB1,1919.811523,2004.642212
Q8NLB2,1558.101685,1708.062988
Q8NLB4,803.0187378,829.0639648
Q8NLB5,321.8002625,347.0579224
Q8NLC0,743.690918,746.9946899
Q8NLC1,460.9887695,468.0142517
Q8NLC4,4026.537598,4214.191406
Q8NLD0,1530.84082,1528.825195
Q8NLD1,1116.074097,1029.725586
Q8NLD4,1054.307251,1075.775879
Q8NLD5,1103.271606,1201.643066
Q8NLD8,692.2086182,718.6311646
Q8NLD9,1535.601196,1459.406372
Q8NLE1,173.0526276,151.3707733
Q8NLE2,567.7689819,581.9923096
Q8NLE3,3424.854736,4062.06665
Q8NLE4,914.4753418,933.5411987
Q8NLE6,33434.32813,32415.47266
Q8NLE7,429.1123657,399.5629272
Q8NLE8,191.8555145,201.1972961
Q8NLE9,215.2827148,192.4203186
Q8NLF0,1800.339844,1846.97876
Q8NLF1,8397.066406,7591.820313
Q8NLF2,344.0813904,328.5524292
Q8NLF3,227.5468292,206.0511627
Q8NLF4,6837.996094,7328.603516
Q8NLF6,732.5413208,696.3479614
Q8NLF7,355.3521118,370.3045959
Q8NLF9,16811.42578,16494.36719
Q8NLG0,3511.772949,3564.813232
Q8NLG1,11129.12305,10215.41016
Q8NLG2,1541.511719,1662.980347
Q8NLG3,214.9117737,235.42659
Q8NLG4,515.713501,470.5994873
Q8NLG5,1413.885742,1744.190308
Q8NLG6,2878.823486,2903.96167
Q8NLG8,123.0353241,148.0575104
Q8NLH1,1267.531616,1256.394653
Q8NLH5,107.3159943,96.15752411
Q8NLI0,702.4710693,674.0093384
Q8NLI1,206.9205322,238.705307
Q8NLI2,558.5725708,588.8568115
Q8NLJ3,8642.745117,9391.352539
Q8NLJ4,2306.587646,2361.800293
Q8NLJ7,448.0623779,433.6298523
Q8NLJ8,1914.067383,1949.975098
Q8NLJ9,8228.963867,8369.37207
Q8NLK1,4081.563477,3853.032959
Q8NLK2,341.0446472,318.3138428
Q8NLK3,426.6973572,424.8343201
Q8NLK6,205.1073761,208.7234192
Q8NLK7,2089.103516,1999.112915
Q8NLK8,731.7377319,751.5499268
Q8NLL0,5386.522949,5867.048828
Q8NLL1,177.9059296,170.3738708
Q8NLL2,227.9542999,199.0845337
Q8NLL4,170.8754578,200.3848877
Q8NLL5,3068.062744,2956.991943
Q8NLM3,4687.18457,4799.217285
Q8NLM4,693.9763184,784.2199097
Q8NLM5,182.6113434,171.6501617
Q8NLM6,1689.987671,1664.679199
Q8NLM7,3803.894287,3693.1604
Q8NLM8,498.6512146,503.3952332
Q8NLM9,138.3898926,94.59503937
Q8NLN0,22353.98438,22139.56641
Q8NLN1,2318.375,2383.733398
Q8NLN3,1139.572266,1050.864502
Q8NLN4,3855.737549,3842.303711
Q8NLN6,2881.95459,2914.562744
Q8NLN8,470.6517334,500.0440979
Q8NLP0,122.3769379,222.8070374
Q8NLP1,900.0941772,858.0960083
Q8NLP3,58.94776154,66.18523407
Q8NLP4,304.6961365,319.5749512
Q8NLP5,1272.704346,1280.624634
Q8NLP6,3362.934082,3284.164795
Q8NLP7,2707.060547,2800.889404
Q8NLP8,517.4887695,500.1139526
Q8NLP9,2696.631836,2651.602295
Q8NLQ0,1048.347412,1143.984253
Q8NLQ1,2733.189209,2870.658447
Q8NLQ2,1331.670532,1287.944946
Q8NLQ6,2670.266602,2528.006348
Q8NLQ7,2968.202881,2906.967773
Q8NLQ8,1069.12146,1009.740967
Q8NLQ9,324.5487061,354.7206421
Q8NLR0,221.3281708,207.7478027
Q8NLR1,5605.538086,5186.748535
Q8NLR4,615.4949951,584.7324219
Q8NLR5,1108.381958,1019.52063
Q8NLR6,11097.15332,10819.49316
Q8NLR7,2172.098877,2131.39917
Q8NLR8,1433.953735,1573.702393
Q8NLS0,382.0252686,302.6065979
Q8NLS1,1003.162842,970.0748901
Q8NLS2,441.3635254,480.5747986
Q8NLS3,1784.175903,1890.45459
Q8NLS6,700.0213623,703.2437134
Q8NLS7,198.7626038,208.1327972
Q8NLS8,197.3244629,195.1873322
