Uniprot_ID,log2 Fold Change,P.Value
Q8NLJ3,0.395508561,0.192932852
Q8NLJ4,0.394411292,0.102551994
Q8NLJ5,0.322387295,0.700365293
Q8NLJ7,-1.354809235,0.244211987
Q8NLJ8,-0.122891623,0.771893685
Q8NLJ9,0.336889308,0.232944716
Q8NLK1,0.337368799,0.573854784
Q8NLK2,-3.507436779,0.519068054
Q8NLK3,-0.487683386,0.602306546
Q8NLK5,-1.017322767,0.245974529
Q8NLK6,-1.739834055,0.261328305
Q8NLK7,0.138154314,0.741781161
Q8NLK8,-1.074221224,0.555421464
Q8NLL0,0.070937247,0.514278312
Q8NLL1,0.204259282,0.946682313
Q8NLL4,1.012259242,0.723401046
Q8NLL5,-0.621917399,0.142598794
Q8NLL8,-0.61822028,0.372266845
Q8NLM3,-1.271892281,0.099963387
Q8NLM5,0.189283961,0.870463763
Q8NLM6,0.000340873,0.999172857
Q8NLM7,0.269879478,0.338181676
Q8NLM8,0.128131173,0.957650839
Q8NLM9,0.965088978,0.527364144
Q8NLN0,-0.974089275,0.033811596
Q8NLN1,-0.478193051,0.172388368
Q8NLN3,-1.098705362,0.331845961
Q8NLN4,-0.070125908,0.794652892
Q8NLN6,-0.851902971,0.164479876
Q8NLN8,-0.196056646,0.870463763
Q8NLP0,-1.239532089,0.539037479
Q8NLP1,-0.56031831,0.573854784
Q8NLP3,-0.253201196,0.793270482
Q8NLP4,0.336640601,0.511689138
Q8NLP5,0.263885846,0.278859964
Q8NLP6,0.217639105,0.23212589
Q8NLP7,-0.165083973,0.550012642
Q8NLP8,-0.489062858,0.495535559
Q8NLP9,0.179809073,0.514188791
Q8NLQ0,0.500578436,0.199206564
Q8NLQ1,0.172651127,0.545054311
Q8NLQ2,-0.251308359,0.613231666
Q8NLQ6,-0.327865827,0.386916138
Q8NLQ7,0.168209976,0.342328131
Q8NLQ8,-0.187354453,0.868938097
Q8NLQ9,-0.058422022,0.932796718
Q8NLR0,0.825004855,0.77776106
Q8NLR1,0.210216968,0.795419288
Q8NLR4,0.76615172,0.190517928
Q8NLR5,-0.038271443,0.953782148
Q8NLR6,0.557452849,0.052272369
Q8NLR7,0.239034401,0.255600901
Q8NLR8,0.43455804,0.232944716
Q8NLS0,0.428543781,0.742587219
Q8NLS1,0.188543637,0.72029722
Q8NLS2,0.516699938,0.345299938
Q8NLS3,0.475041224,0.259652514
Q8NLS6,-0.171272927,0.562527802
Q8NLS7,0.035069111,0.970938556
Q8NLS9,0.003689257,0.993428367
Q8NLT4,0.213004831,0.643940831
Q8NLT5,0.219506331,0.826514425
Q8NLT6,-0.464313267,0.208829786
Q8NLT9,0.192005884,0.2755091
Q8NLU0,-0.147928742,0.614718871
Q8NLU1,-0.298937243,0.500482464
Q8NLU2,0.640085948,0.167298087
Q8NLU7,-0.259344112,0.258773919
Q8NLU8,-0.164967629,0.866181236
Q8NLU9,1.775707995,0.516348692
Q8NLV0,1.28810155,0.052064356
Q8NLV1,0.138460152,0.81018683
Q8NLV2,-0.280839915,0.857192986
Q8NLV5,-0.211533146,0.557990122
Q8NLV6,-1.49285987,0.222294322
Q8NLV7,-0.382248759,0.342328131
Q8NLV9,-1.215708185,0.040464692
Q8NLW0,-0.865194132,0.278859964
Q8NLW5,-0.06262866,0.959930198
Q8NLW7,0.290846463,0.55309912
Q8NLW8,0.409326273,0.490644455
Q8NLW9,0.572153081,0.125218244
Q8NLX0,0.308512573,0.305945971
Q8NLX1,-0.260603817,0.437339755
Q8NLX2,-0.071085632,0.746408866
Q8NLX4,0.299289239,0.726663283
Q8NLX9,2.340044174,0.056229237
Q8NLY0,-1.20975166,0.701631772
Q8NLY1,-2.391407209,0.559327871
Q8NLY2,-0.935198764,0.212393709
Q8NLY3,-1.554738367,0.343918704
Q8NLY4,-0.748893906,0.503233977
Q8NLY5,0.481021428,0.207209133
Q8NLY6,-0.195810969,0.650347128
Q8NLY8,0.441667205,0.099963387
Q8NLY9,0.620496418,0.644489384
Q8NLZ0,0.230280484,0.712039616
Q8NLZ3,0.196559118,0.349451014
Q8NLZ4,0.369804294,0.908187083
Q8NLZ6,0.111046416,0.726663283
Q8NM01,0.423381321,0.386916138
Q8NM02,-0.871881269,0.546214481
Q8NM04,0.151389841,0.701427287
Q8NM08,-0.136566334,0.86722458
Q8NM09,0.208085308,0.866181236
Q8NM10,-1.580504099,0.689635254
Q8NM11,0.102975966,0.805084532
Q8NM12,1.122620966,0.437339755
Q8NM13,0.042438505,0.899517464
Q8NM15,-0.404217737,0.817229929
Q8NM16,0.293814924,0.192932852
Q8NM18,0.698401486,0.468504984
Q8NM22,-1.117132381,0.488211594
Q8NM23,0.377510859,0.352349352
Q8NM26,0.243485506,0.956682012
Q8NM27,0.196054544,0.753080158
Q8NM28,0.257457957,0.386916138
Q8NM29,-0.681307693,0.305622501
Q8NM30,0.292352344,0.789679587
Q8NM31,0.278510306,0.700365293
Q8NM32,-1.751426273,0.342329523
Q8NM33,-0.914603341,0.268097527
Q8NM35,-0.969564981,0.204113974
Q8NM39,0.28239013,0.52721637
Q8NM40,0.819030911,0.386916138
Q8NM41,0.678988628,0.451606462
Q8NM43,-0.18549828,0.865611747
Q8NM44,0.477359365,0.223976186
Q8NM45,0.321594602,0.503233977
Q8NM46,0.535836295,0.658946801
Q8NM48,0.166159489,0.933220827
Q8NM49,0.571742275,0.541660481
Q8NM51,-0.347547055,0.511689138
Q8NM54,-0.302802242,0.118221919
Q8NM55,-0.721325429,0.708440924
Q8NM56,-0.234742125,0.634707635
Q8NM57,-0.416960385,0.141970505
Q8NM58,-1.243276307,0.150522578
Q8NM59,-1.182777073,0.12942296
Q8NM60,-1.708061807,0.134651153
Q8NM61,-0.787317213,0.152706946
Q8NM62,-0.529751219,0.152706946
Q8NM63,-0.136517913,0.866181236
Q8NM64,-0.252226517,0.456054311
Q8NM65,-0.121893645,0.631236537
Q8NM66,-1.575377466,0.342328131
Q8NM67,-0.427981702,0.544620506
Q8NM68,0.75297749,0.161021202
Q8NM69,-0.908420094,0.249837375
Q8NM70,0.191373594,0.503233977
Q8NM73,0.009695599,0.984883888
Q8NM74,-0.225056476,0.825382701
Q8NM75,-0.605228159,0.305661908
Q8NM79,0.130202862,0.786599593
Q8NM80,0.866161041,0.451606462
Q8NM82,0.528074905,0.386916138
Q8NM84,0.646639736,0.394030241
Q8NM85,0.223735761,0.646369268
Q8NM86,0.259325226,0.803447884
Q8NM87,0.007333038,0.984340097
Q8NM88,-0.274762476,0.663540927
Q8NM89,0.300202182,0.518149235
Q8NM90,-0.539788339,0.300689176
Q8NM91,-0.003427853,0.998060879
Q8NM92,-0.468951717,0.170306235
Q8NM94,-1.238853454,0.099963387
Q8NM95,-0.361024585,0.55443716
Q8NM96,-0.492680527,0.270850452
Q8NM99,-0.480842998,0.330699041
Q8NMA0,-0.374085566,0.398028021
Q8NMA1,0.854833771,0.61653492
Q8NMA4,-0.740085635,0.340504039
Q8NMA8,1.43305889,0.031119286
Q8NMB0,-0.784233673,0.096049043
Q8NMB1,-0.24156741,0.786216301
Q8NMB2,-0.162723765,0.767270531
Q8NMB3,-0.441730559,0.741781161
Q8NMB4,0.446699304,0.223976186
Q8NMB5,1.216171789,0.597618342
Q8NMB6,-0.029774997,0.946509119
Q8NMB7,-0.152265559,0.53462051
Q8NMB8,-0.101460732,0.741781161
Q8NMB9,0.146282868,0.868938097
Q8NMC6,1.455660984,0.142598794
Q8NMC7,-1.169355419,0.152706946
Q8NMD0,-0.884844162,0.582808857
Q8NMD1,0.156764874,0.870047977
Q8NMD2,0.675398583,0.410209224
Q8NMD3,0.000498269,0.999172857
Q8NMD4,0.226566545,0.349451014
Q8NMD5,-0.620223,0.087214626
Q8NMD6,-3.172789794,0.070889803
Q8NMD7,0.82384859,0.033811596
Q8NMD8,-0.087439878,0.905704651
Q8NME8,-1.343572544,0.040464692
Q8NME9,-0.374012551,0.530624571
Q8NMF0,0.675722904,0.068658778
Q8NMF1,-0.508890958,0.253528853
Q8NMF2,-0.182278195,0.819558346
Q8NMF3,-0.471957457,0.343918704
Q8NMF4,-0.065376021,0.905704651
Q8NMF5,-0.550480338,0.781271842
Q8NMF6,-0.507531644,0.223976186
Q8NMF7,0.849187672,0.228260728
Q8NMF8,0.87917584,0.302146031
Q8NMG1,-2.366958993,0.123121241
Q8NMG3,-0.071693783,0.912806366
Q8NMG5,0.269987463,0.339405471
Q8NMG6,0.585998564,0.6616708
Q8NMG7,-0.73839856,0.372266845
Q8NMG8,0.848747187,0.080604685
Q8NMG9,0.362693225,0.652389166
Q8NMH2,-0.104053547,0.866181236
Q8NMH3,0.160986504,0.669109317
Q8NMH4,0.390071253,0.446917861
Q8NMH5,0.127600612,0.387885664
Q8NMH6,0.484204796,0.152457664
Q8NMH7,-0.419501902,0.18449352
Q8NMI2,-0.283337209,0.498442155
Q8NMI3,-0.768808023,0.091514977
Q8NMI4,-0.3983511,0.211796713
Q8NMI5,-0.550763988,0.070492478
Q8NMI6,0.17211859,0.909485106
Q8NMI7,0.027649429,0.904323011
Q8NMI8,0.313522061,0.495535559
Q8NMI9,0.461238464,0.235757648
Q8NMJ0,0.053264475,0.899517464
Q8NMJ1,-0.637655061,0.6616708
Q8NMJ2,0.132718444,0.568539492
Q8NMJ3,-0.791667666,0.169958827
Q8NMJ4,0.774784184,0.129918422
Q8NMJ5,0.513515527,0.258773919
Q8NMJ6,-0.105615537,0.541660481
Q8NMJ7,0.320955531,0.325378153
Q8NMJ8,-0.889055445,0.180576867
Q8NMJ9,-1.353936013,0.543456319
Q8NMK0,-3.078217139,0.467415773
Q8NMK1,-0.53996526,0.297078056
Q8NMK2,0.618912044,0.278859964
Q8NMK3,0.649714336,0.148851918
Q8NMK4,0.010120395,0.970994924
Q8NMK5,-0.109628648,0.936187989
Q8NMK6,-1.478531129,0.026686001
Q8NMK8,-4.845846746,0.098022462
Q8NMK9,-0.440993271,0.386302635
Q8NML0,0.492630827,0.512535214
Q8NML1,0.032163642,0.894875996
Q8NML3,0.195175572,0.828038442
Q8NML4,0.407254084,0.172333795
Q8NML5,-0.086250475,0.674933845
Q8NMM0,0.18089177,0.16672465
Q8NMM1,0.29186118,0.700851339
Q8NMM2,-4.288105011,0.207209133
Q8NMM7,-1.115015771,0.515487655
Q8NMN0,-0.624278425,0.179027913
Q8NMN1,-0.234791324,0.801107983
Q8NMN2,-0.399433789,0.205015178
Q8NMN3,-0.174703763,0.515906496
Q8NMN4,-0.391809867,0.205015178
Q8NMN5,0.141862486,0.755135394
Q8NMN7,0.484418185,0.096049043
Q8NMP1,0.348402178,0.409427605
Q8NMP2,0.697697541,0.044028076
Q8NMP4,-0.690119126,0.122388796
Q8NMP5,0.829342081,0.23212589
Q8NMP6,-1.091100259,0.205537908
Q8NMP9,0.561605233,0.174955817
Q8NMQ0,-0.823601678,0.170561877
Q8NMQ1,0.40439231,0.312662182
Q8NMQ2,-0.139276381,0.580242662
Q8NMQ3,-1.244761726,0.241980178
Q8NMQ5,0.614899623,0.189790448
Q8NMQ6,0.960057134,0.190768283
Q8NMQ7,0.872218089,0.064405651
Q8NMR0,-0.052515936,0.98427057
Q8NMR4,0.432636779,0.580776168
Q8NMR5,0.22288474,0.598777506
Q8NMR6,0.37202445,0.252523771
Q8NMR7,0.179125269,0.524068327
Q8NMS0,0.504069402,0.224081884
Q8NMS4,-0.625068433,0.199092588
Q8NMS5,0.557988731,0.23212589
Q8NMS6,0.302204056,0.170561877
Q8NMS7,0.546479329,0.137095578
Q8NMS8,-0.281314009,0.427138108
Q8NMT0,0.365753229,0.63440738
Q8NMT3,0.071726531,0.856500882
Q8NMT9,-0.063417027,0.931219029
Q8NMU1,0.257730791,0.321227071
Q8NMU2,-0.158332337,0.608625491
Q8NMU3,-0.416825365,0.322587319
Q8NMU4,-0.171943041,0.747211561
Q8NMV1,-0.198957696,0.500482464
Q8NMV2,-0.512718482,0.726495469
Q8NMV3,-0.109610628,0.53462051
Q8NMV4,0.099174214,0.87908462
Q8NMV5,0.062501307,0.84752298
Q8NMV6,-0.346741769,0.600775131
Q8NMV8,0.785827248,0.676142859
Q8NMW0,-0.063972714,0.72029722
Q8NMW3,0.009907918,0.969103668
Q8NMW4,-0.391910935,0.458949134
Q8NMW6,0.659881376,0.307176977
Q8NMW7,-0.255210208,0.652569919
Q8NMW8,0.599295981,0.172333795
Q8NMW9,0.208888609,0.305622501
Q8NMX2,-0.782693311,0.371768945
Q8NMX3,0.197870023,0.863783952
Q8NMX4,0.695281593,0.167298087
Q8NMX5,1.243600218,0.704222637
Q8NMX7,0.191063078,0.486130138
Q8NMX8,-0.096627429,0.708876686
Q8NMY0,-0.714364672,0.570685535
Q8NMY4,0.229104332,0.674609645
Q8NMY5,-0.919775015,0.736555239
Q8NMY7,-0.6906115,0.064405651
Q8NMY8,0.002528759,0.994116244
Q8NMZ0,0.301224179,0.279057592
Q8NMZ1,-0.517711385,0.175023773
Q8NMZ5,0.179863886,0.874429552
Q8NMZ8,2.457729833,0.040464692
Q8NMZ9,0.130894109,0.834350356
Q8NN01,1.070768506,0.064405651
Q8NN02,0.714310404,0.170561877
Q8NN05,0.136655827,0.931800799
Q8NN11,-0.494333019,0.331845961
Q8NN12,-0.303248573,0.179988651
Q8NN13,-0.171423127,0.838920525
Q8NN15,0.403733806,0.518149235
Q8NN16,0.332822347,0.682607533
Q8NN17,0.3306286,0.52721637
