Uniprot_ID,Day1-1,Day1-2,Day2-1,Day2-2,Day3-1,Day3-2
P94336,546.975769,534.3323975,588.2290039,566.9994507,582.8061523,504.8136597
P94337,11285.87695,11960.69434,11708.35156,12087.75391,12156.04883,10611.12402
P94338,751.0823975,747.62677,743.0814209,869.7842407,798.2789917,835.3815308
P94631,3312.314209,3381.635254,3284.317383,3221.85376,3381.715088,3390.563965
P94632,154.7400513,159.9673615,141.9158478,149.8027496,152.8221436,149.9174347
Q01651,41708.04688,43508.39063,44790.53906,43230.76563,44390.67969,38121.96875
Q01655,8640.954102,8898.100586,8964.608398,8609.625,9085.491211,7334.394043
Q04513,2619.812012,2499.248291,2712.662354,2560.262939,2801.108887,2603.801025
Q45288,9269.677734,9547.571289,10397.74512,9615.648438,10448.32715,9347.610352
Q45291,962.8696899,947.7332153,929.9611206,957.1896362,935.4699097,1000.045898
Q46065,187.1767578,244.8167267,303.8331604,289.1078186,232.2398224,251.7043762
Q46072,13402.71973,13180.06934,13087.44141,13399.44922,12644.94336,12641.84082
Q46078,39345.14453,40477.35547,40158.14063,39233.00781,41197.95703,37843.81641
Q57179,11324.44531,11103.16113,10895.15332,10810.07227,10785.73926,8572.933594
Q59200,852.0530396,811.2057495,854.2143555,837.609314,808.7910767,830.3268433
Q59279,3450.230713,3600.450684,3706.262695,3551.770996,3672.999023,3627.16626
Q59280,3653.268555,3839.556885,4067.386475,3866.32959,4073.605225,3274.977051
Q59281,1662.342285,1619.652832,1650.973511,1649.839966,1573.731934,1379.685303
Q59282,5902.087891,5736.979492,5939.093262,5604.477051,5814.884277,5802.026367
Q59283,2807.729004,2982.3479,3113.534668,3006.539307,2942.546631,2882.370117
Q59284,1418.633911,1432.125854,1476.158203,1456.928955,1480.494873,1377.215576
Q6M1C1,398.881073,599.4997559,598.1433716,491.4080505,481.665863,258.7891541
Q6M259,8561.853516,9860.013672,10476.12109,9699.146484,9348.357422,5479.491699
Q6M2E8,396.5796204,389.5265808,467.1578979,528.6260986,343.7364502,488.4291687
Q6M2F0,2696.068848,2761.95874,2720.399414,2603.132568,2698.45459,2816.355957
Q6M4B7,1662.616943,1532.471558,1598.831055,1439.041992,1601.44751,1640.315063
Q6M6E7,16212.2168,16470.86914,16322.85449,16174.12988,16359.00586,15004.84375
Q6M6N7,252.4635773,172.390976,159.4092255,171.7282257,181.5313721,172.989212
Q6M8X7,259.6042175,289.0246277,284.0370483,272.0931091,264.3746338,244.7430115
Q79VC4,208.7944489,189.4832611,202.1429749,220.2386932,191.7971039,222.2190704
Q79VD1,94.86441803,135.7743988,131.7202759,142.817688,145.4400177,129.9156342
Q79VD6,2742.603516,2744.183594,2792.891602,2778.760986,2716.964111,2774.844727
Q79VD7,15822.30566,15474.67578,14551.97949,14682.46191,14582.28125,16823.2832
